Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
RELIANCE,1.0,5.0,7.0,1383.0,RELIANCE INDUSTRIES LTD,Energy,623.05,,,,976541 cr,81504 cr,buy,1850.0,1660.0,1300.0,1608.8 => 14.0%,1340.43 => 3.08%,45.2,1.04,3.14,9.33,Downtrend,Downtrend,Downtrend,1114.85 => 19.39%,1114.85 => 19.39%,1006.07 => 27.25%,1325.2 => 4.18%,1240.79 => 10.28%,1142.76 => 17.37%
HDFCBANK,2.0,5.0,8.0,951.05,HDFC BANK LTD,Financial Services,354.29,,,,273606 cr,70575 cr,strong_buy,1390.0,1136.0,1016.0,1018.85 => 7.0%,930.16 => 2.2%,35.49,1.18,2.66,6.37,Downtrend,Downtrend,Downtrend,681.78 => 28.31%,681.78 => 28.31%,681.78 => 28.31%,940.22 => 1.14%,890.37 => 6.38%,786.05 => 17.35%
BHARTIARTL,3.0,5.0,8.0,1931.1,BHARTI AIRTEL LIMITED,Communication Services,196.59,,,,183941 cr,35344 cr,buy,2500.0,2125.0,1375.0,2045.8 => 6.0%,1789.13 => 7.35%,54.11,1.48,2.98,7.29,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,735.8 => 61.9%,628.75 => 67.44%,1844.34 => 4.49%,1719.25 => 10.97%,1495.01 => 22.58%
TCS,4.0,5.0,8.0,3035.4,TATA CONSULTANCY SERV LT,Technology,270.61,,,,256148 cr,49273 cr,buy,4500.0,3690.5,2620.0,4592.25 => 34.0%,3559.72 => -17.27%,40.16,1.19,3.43,8.11,Downtrend,Downtrend,Downtrend,3591.5 => -18.32%,3591.5 => -18.32%,2926.1 => 3.6%,2956.11 => 2.61%,2671.39 => 11.99%,2922.69 => 3.71%
ICICIBANK,5.0,5.0,8.0,1382.7,ICICI BANK LTD.,Financial Services,461.87,,,,205485 cr,52891 cr,strong_buy,1900.0,1690.0,1440.0,1500.0 => 8.0%,1362.12 => 1.49%,32.74,0.99,2.28,6.29,Downtrend,Downtrend,Downtrend,1186.0 => 14.23%,1186.0 => 14.23%,268.3 => 80.6%,1364.26 => 1.33%,1312.2 => 5.1%,1147.6 => 17.0%
SBIN,6.0,5.0,8.0,866.2,STATE BANK OF INDIA,Financial Services,583.19,,,,350384 cr,79438 cr,strong_buy,1050.0,950.0,720.0,912.0 => 5.0%,789.63 => 8.84%,71.65,1.92,2.82,6.39,Downtrend,Downtrend,Downtrend,680.0 => 21.5%,680.0 => 21.5%,149.45 => 82.75%,811.55 => 6.31%,728.77 => 15.87%,669.17 => 22.75%
BAJFINANCE,7.0,5.0,8.0,1029.75,BAJAJ FINANCE LIMITED,Financial Services,155.75,,,,38776 cr,17425 cr,buy,1180.0,1000.0,640.0,1028.8 => 0.0%,866.37 => 15.87%,76.09,1.68,4.79,7.57,Downtrend,Downtrend,Downtrend,618.78 => 39.91%,618.78 => 39.91%,522.0 => 49.31%,929.93 => 9.69%,835.81 => 18.83%,673.32 => 34.61%
INFY,8.0,5.0,7.0,1494.6,INFOSYS LIMITED,Technology,2.67,,,,1950 cr,320 cr,buy,2085.0,1750.0,1440.0,2006.45 => 26.0%,1645.44 => -10.09%,48.04,1.32,4.65,8.61,Downtrend,Downtrend,Downtrend,1307.0 => 12.55%,1307.0 => 12.55%,1185.3 => 20.69%,1421.55 => 4.89%,1261.9 => 15.57%,1291.83 => 13.57%
HINDUNILVR,9.0,5.0,8.0,2549.5,HINDUSTAN UNILEVER LTD.,Consumer Defensive,210.26,,,,63928 cr,10795 cr,buy,3240.0,2791.5,1966.0,3035.0 => 16.0%,2391.49 => 6.2%,43.65,1.57,3.93,6.49,Downtrend,Downtrend,Downtrend,2136.0 => 16.22%,2136.0 => 16.22%,2172.05 => 14.8%,2471.57 => 3.06%,2225.35 => 12.71%,2056.74 => 19.33%
LICI,10.0,5.0,8.0,894.25,LIFE INSURA CORP OF INDIA,Financial Services,201.15,,,,903865 cr,51550 cr,buy,1450.0,1100.0,850.0,1222.0 => 27.0%,861.79 => 3.63%,54.55,1.2,3.85,9.12,Downtrend,Downtrend,Downtrend,715.3 => 20.01%,715.3 => 20.01%,530.05 => 40.73%,833.76 => 6.76%,759.3 => 15.09%,0.0 => 100.0%
MARUTI,11.0,5.0,8.0,16249.0,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,3061.09,,,,155739 cr,14533 cr,strong_buy,18900.0,15470.0,12912.0,16325.0 => 0.0%,12550.69 => 22.76%,81.67,1.64,3.85,4.23,Downtrend,Downtrend,Downtrend,10725.0 => 34.0%,10725.0 => 34.0%,4001.1 => 75.38%,14690.68 => 9.59%,12499.24 => 23.08%,10553.21 => 35.05%
LT,12.0,5.0,7.0,3673.8,LARSEN & TOUBRO LTD.,Industrials,710.12,,,,268802 cr,15394 cr,buy,4550.0,4062.0,3000.0,3963.5 => 7.0%,3506.35 => 4.56%,59.93,1.46,2.8,7.76,Downtrend,Downtrend,Downtrend,2965.3 => 19.29%,2965.3 => 19.29%,1456.35 => 60.36%,3459.49 => 5.83%,3251.75 => 11.49%,3016.03 => 17.9%
ITC,13.0,5.0,7.0,401.0,ITC LTD,Consumer Defensive,55.96,,,,79040 cr,19968 cr,strong_buy,567.0,491.0,425.0,528.5 => 24.0%,424.28 => -5.81%,38.24,1.08,3.17,5.46,Downtrend,Downtrend,Downtrend,390.15 => 2.71%,390.15 => 2.71%,399.35 => 0.41%,397.2 => 0.95%,368.79 => 8.03%,358.57 => 10.58%
M&M,14.0,5.0,8.0,3574.9,MAHINDRA & MAHINDRA LTD,Consumer Cyclical,690.12,,,,169686 cr,13730 cr,strong_buy,4400.0,3858.0,3030.0,3723.8 => 4.0%,3053.19 => 14.59%,57.19,1.68,5.22,7.43,Downtrend,Downtrend,Downtrend,2425.0 => 32.17%,2425.0 => 32.17%,671.15 => 81.23%,3393.47 => 5.08%,2874.42 => 19.59%,2501.52 => 30.03%
KOTAKBANK,15.0,5.0,8.0,2031.3,KOTAK MAHINDRA BANK LTD,Financial Services,792.11,,,,75073 cr,19150 cr,buy,2600.0,2326.0,1900.0,2301.9 => 12.0%,2011.8 => 0.96%,56.22,1.56,3.0,9.44,Downtrend,Downtrend,Downtrend,1679.05 => 17.34%,1679.05 => 17.34%,1543.85 => 24.0%,1902.03 => 6.36%,1859.38 => 8.46%,1676.52 => 17.47%
HCLTECH,16.0,5.0,7.0,1442.3,HCL TECHNOLOGIES LTD,Technology,3.01,,,,1402 cr,200 cr,hold,2000.0,1680.0,1389.0,2012.2 => 28.0%,1636.27 => -13.45%,43.16,1.75,4.18,10.95,Downtrend,Downtrend,Downtrend,1302.75 => 9.68%,1302.75 => 9.68%,877.35 => 39.17%,1362.16 => 5.56%,1213.8 => 15.84%,1356.23 => 5.97%
SUNPHARMA,17.0,5.0,8.0,1627.1,SUN PHARMACEUTICAL IND L,Healthcare,300.99,,,,53777 cr,10372 cr,buy,2450.0,1959.5,1525.0,1960.35 => 17.0%,1706.09 => -4.85%,52.03,1.15,3.51,8.34,Downtrend,Downtrend,Downtrend,1553.05 => 4.55%,1553.05 => 4.55%,312.0 => 80.82%,1555.36 => 4.41%,1445.08 => 11.19%,1440.48 => 11.47%
AXISBANK,18.0,5.0,7.0,1158.9,AXIS BANK LIMITED,Financial Services,625.66,,,,76936 cr,27862 cr,buy,1480.0,1330.0,1180.0,1339.65 => 13.0%,1102.68 => 4.85%,73.09,1.63,3.05,8.57,Downtrend,Downtrend,Downtrend,933.5 => 19.45%,933.5 => 19.45%,618.25 => 46.65%,1056.35 => 8.85%,963.5 => 16.86%,924.04 => 20.27%
ULTRACEMCO,19.0,5.0,8.0,12214.0,ULTRATECH CEMENT LIMITED,Basic Materials,2403.76,,,,78412 cr,6770 cr,buy,15410.0,14150.0,7700.0,13097.0 => 7.0%,11700.51 => 4.2%,39.79,1.68,3.5,7.12,Downtrend,Downtrend,Downtrend,10047.85 => 17.73%,10047.85 => 17.73%,5157.05 => 57.78%,11983.42 => 1.89%,11166.55 => 8.58%,9970.67 => 18.37%
NTPC,20.0,5.0,8.0,347.6,NTPC LTD,Utilities,189.85,,,,186675 cr,23959 cr,strong_buy,490.0,409.0,320.0,448.45 => 22.0%,335.89 => 3.37%,69.01,1.3,3.21,7.67,Downtrend,Downtrend,Downtrend,292.8 => 15.77%,292.8 => 15.77%,73.2 => 78.94%,324.32 => 6.7%,282.15 => 18.83%,290.48 => 16.43%
BAJAJFINSV,21.0,5.0,8.0,2069.2,BAJAJ FINSERV LTD.,Financial Services,453.6,,,,135608 cr,9524 cr,buy,2430.0,2206.5,1450.0,3375.2 => 39.0%,1905.44 => 7.91%,62.27,1.28,3.22,7.46,Downtrend,Downtrend,Downtrend,1419.05 => 31.42%,1419.05 => 31.42%,1419.05 => 31.42%,1974.6 => 4.57%,1810.71 => 12.49%,1501.2 => 27.45%
HAL,22.0,5.0,7.0,4723.9,HINDUSTAN AERONAUTICS LTD,Industrials,523.07,,,,31452 cr,8311 cr,buy,6360.0,5800.0,4100.0,5674.75 => 17.0%,4355.16 => 7.81%,55.16,1.92,4.58,12.45,Downtrend,Downtrend,Downtrend,3046.05 => 35.52%,3046.05 => 35.52%,235.0 => 95.03%,4417.53 => 6.49%,3586.53 => 24.08%,0.0 => 100.0%
ADANIPORTS,23.0,5.0,8.0,1431.6,ADANI PORT & SEZ LTD,Industrials,288.26,,,,32645 cr,11294 cr,strong_buy,1900.0,1755.0,1510.0,1621.4 => 12.0%,1277.21 => 10.78%,66.41,1.73,4.3,9.65,Downtrend,Downtrend,Downtrend,995.65 => 30.45%,995.65 => 30.45%,995.65 => 30.45%,1306.29 => 8.75%,1130.38 => 21.04%,1069.57 => 25.29%
ETERNAL,24.0,5.0,5.0,335.8,ETERNAL LIMITED,Consumer Cyclical,31.09,,,,23204 cr,299 cr,buy,420.0,330.0,170.0,343.9 => 2.0%,0.0 => 100.0%,62.41,1.73,4.89,0.0,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,313.69 => 6.58%,0.0 => 100.0%,0.0 => 100.0%
TITAN,25.0,5.0,7.0,3418.3,TITAN COMPANY LIMITED,Consumer Cyclical,130.93,,,,63713 cr,3713 cr,buy,4615.0,3941.0,3200.0,3886.95 => 12.0%,3404.7 => 0.4%,30.45,1.44,3.59,8.09,Downtrend,Downtrend,Downtrend,2925.0 => 14.43%,2925.0 => 14.43%,1825.05 => 46.61%,3311.98 => 3.11%,3117.36 => 8.8%,2834.44 => 17.08%
ADANIENT,26.0,5.0,7.0,2619.8,ADANI ENTERPRISES LIMITED,Energy,413.19,,,,94384 cr,6231 cr,strong_buy,3359.0,3179.5,3000.0,4190.0 => 37.0%,2402.44 => 8.3%,71.52,2.82,5.04,9.15,Downtrend,Downtrend,Downtrend,2025.0 => 22.7%,2025.0 => 22.7%,2025.0 => 22.7%,2271.89 => 13.28%,1959.2 => 25.22%,1794.78 => 31.49%
DMART,27.0,5.0,8.0,4645.8,AVENUE SUPERMARTS LIMITED,Consumer Defensive,329.45,,,,61649 cr,2707 cr,hold,6408.0,4065.0,3100.0,5900.0 => 21.0%,4047.72 => 12.87%,51.07,2.11,5.32,10.28,Downtrend,Downtrend,Downtrend,3340.0 => 28.11%,3340.0 => 28.11%,3186.0 => 31.42%,4389.94 => 5.51%,3749.41 => 19.29%,3316.92 => 28.6%
ONGC,28.0,5.0,7.0,238.52,OIL AND NATURAL GAS CORP.,Energy,273.0,,,,657205 cr,36055 cr,buy,340.0,275.0,205.0,345.0 => 31.0%,242.55 => -1.69%,56.77,1.23,2.7,9.04,Downtrend,Downtrend,Downtrend,205.0 => 14.05%,205.0 => 14.05%,50.0 => 79.04%,226.57 => 5.01%,197.1 => 17.36%,194.15 => 18.6%
BEL,29.0,5.0,8.0,395.45,BHARAT ELECTRONICS LTD,Industrials,27.33,,,,23965 cr,5500 cr,buy,550.0,436.0,246.0,436.0 => 9.0%,336.3 => 14.96%,53.57,1.88,4.66,12.27,Downtrend,Downtrend,Downtrend,240.25 => 39.25%,240.25 => 39.25%,18.67 => 95.28%,361.98 => 8.46%,327.3 => 17.23%,277.63 => 29.79%
JSWSTEEL,30.0,5.0,7.0,1149.1,JSW STEEL LIMITED,Basic Materials,325.74,,,,169028 cr,4843 cr,hold,1300.0,1064.0,770.0,1148.0 => 0.0%,1004.86 => 12.55%,75.03,1.71,3.48,7.16,Downtrend,Downtrend,Downtrend,880.0 => 23.42%,880.0 => 23.42%,520.05 => 54.74%,1065.45 => 7.28%,980.49 => 14.67%,831.58 => 27.63%
ADANIPOWER,31.0,5.0,7.0,144.5,ADANI POWER LTD,Utilities,29.22,,,,55357 cr,11936 cr,strong_buy,163.6,138.6,133.8,182.7 => 21.0%,110.51 => 23.52%,59.18,8.43,8.84,15.46,Downtrend,Downtrend,Downtrend,86.4 => 40.21%,86.4 => 40.21%,86.4 => 40.21%,127.35 => 11.87%,98.73 => 31.67%,89.78 => 37.87%
POWERGRID,32.0,5.0,7.0,293.3,POWER GRID CORP. LTD.,Utilities,99.76,,,,45982 cr,15428 cr,buy,370.0,323.0,240.0,366.25 => 20.0%,292.07 => 0.42%,61.34,1.46,3.09,8.21,Downtrend,Downtrend,Downtrend,247.3 => 15.68%,247.3 => 15.68%,68.71 => 76.57%,276.2 => 5.83%,246.81 => 15.85%,255.58 => 12.86%
WIPRO,33.0,5.0,8.0,244.59,WIPRO LTD,Technology,82.99,,,,89259 cr,13463 cr,hold,320.0,260.0,185.0,369.92 => 34.0%,269.53 => -10.2%,40.78,1.54,4.17,9.11,Downtrend,Downtrend,Downtrend,228.0 => 6.78%,228.0 => 6.78%,176.0 => 28.04%,238.34 => 2.56%,212.39 => 13.16%,195.51 => 20.07%
TATAMOTORS,34.0,5.0,8.0,682.95,TATA MOTORS LIMITED,Consumer Cyclical,315.49,,,,437000 cr,21240 cr,hold,1300.0,722.0,575.0,1179.0 => 42.0%,696.04 => -1.92%,43.62,2.08,4.32,11.24,Downtrend,Downtrend,Downtrend,535.75 => 21.55%,535.75 => 21.55%,63.5 => 90.7%,662.14 => 3.05%,521.11 => 23.7%,511.5 => 25.1%
BAJAJ-AUTO,35.0,5.0,8.0,8839.0,BAJAJ AUTO LIMITED,Consumer Cyclical,1260.08,,,,53236 cr,7593 cr,hold,12584.0,9142.0,7900.0,12774.0 => 31.0%,8442.76 => 4.48%,46.92,1.7,4.4,8.04,Downtrend,Downtrend,Downtrend,7089.35 => 19.79%,7089.35 => 19.79%,3027.05 => 65.75%,8559.32 => 3.16%,6785.09 => 23.24%,7302.82 => 17.38%
COALINDIA,36.0,5.0,7.0,392.85,COAL INDIA LTD,Energy,160.77,,,,125668 cr,33148 cr,buy,467.0,420.0,290.0,543.55 => 28.0%,386.6 => 1.59%,55.48,1.19,3.03,7.7,Downtrend,Downtrend,Downtrend,349.25 => 11.1%,349.25 => 11.1%,109.55 => 72.11%,379.72 => 3.34%,318.19 => 19.0%,305.95 => 22.12%
ASIANPAINT,37.0,5.0,8.0,2457.2,ASIAN PAINTS LIMITED,Basic Materials,202.25,,,,33841 cr,3597 cr,hold,2935.0,2475.0,1909.0,3590.0 => 32.0%,2353.79 => 4.21%,41.41,1.43,3.17,7.29,Downtrend,Downtrend,Downtrend,2124.75 => 13.53%,2124.75 => 13.53%,2560.0 => -4.18%,2372.6 => 3.44%,2096.08 => 14.7%,1950.77 => 20.61%
NESTLEIND,38.0,5.0,8.0,1178.6,NESTLE INDIA LIMITED,Consumer Defensive,20.8,,,,20431 cr,3108 cr,hold,1410.0,1200.0,1010.0,1389.0 => 15.0%,1152.78 => 2.19%,47.29,1.64,3.92,7.81,Downtrend,Downtrend,Downtrend,1055.0 => 10.49%,1055.0 => 10.49%,800.0 => 32.12%,1136.13 => 3.6%,1070.66 => 9.16%,1002.03 => 14.98%
HYUNDAI,39.0,5.0,7.0,2755.7,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,200.58,,,,68262 cr,5520 cr,buy,3200.0,2727.0,2000.0,2890.0 => 5.0%,1951.45 => 29.18%,68.88,4.47,7.77,7.57,Downtrend,Downtrend,Downtrend,1541.7 => 44.05%,1541.7 => 44.05%,0.0 => 100.0%,2442.53 => 11.36%,0.0 => 100.0%,0.0 => 100.0%
INDIGO,40.0,5.0,8.0,5686.0,INTERGLOBE AVIATION LTD,Industrials,242.43,,,,81728 cr,6706 cr,buy,7256.0,6533.5,4050.0,6232.5 => 9.0%,5167.4 => 9.12%,43.76,1.36,4.52,10.47,Downtrend,Downtrend,Downtrend,3780.0 => 33.52%,3780.0 => 33.52%,1511.75 => 73.41%,5378.48 => 5.41%,5010.94 => 11.87%,3009.08 => 47.08%
TATASTEEL,41.0,5.0,6.0,172.66,TATA STEEL LIMITED,Basic Materials,73.03,,,,216949 cr,4539 cr,buy,202.0,174.0,135.0,184.6 => 6.0%,149.93 => 13.17%,66.92,1.46,4.13,9.32,Downtrend,Downtrend,Downtrend,122.62 => 28.98%,122.62 => 28.98%,82.7 => 52.1%,159.48 => 7.63%,139.92 => 18.96%,121.25 => 29.78%
IOC,42.0,5.0,7.0,146.77,INDIAN OIL CORP LTD,Energy,135.41,,,,756602 cr,16883 cr,buy,195.0,160.0,95.0,202.13 => 27.0%,137.12 => 6.57%,60.34,1.4,3.23,8.03,Downtrend,Downtrend,Downtrend,110.72 => 24.56%,110.72 => 24.56%,65.2 => 55.58%,138.14 => 5.88%,115.31 => 21.43%,108.11 => 26.34%
JIOFIN,43.0,5.0,8.0,306.75,JIO FIN SERVICES LTD,Financial Services,194.39,,,,2084 cr,1625 cr,none,361.0,343.0,325.0,394.7 => 22.0%,281.43 => 8.25%,37.07,1.56,3.64,11.57,Downtrend,Downtrend,Downtrend,198.65 => 35.24%,198.65 => 35.24%,0.0 => 100.0%,290.68 => 5.24%,279.74 => 8.81%,0.0 => 100.0%
EICHERMOT,44.0,5.0,9.0,7011.5,EICHER MOTORS LTD,Consumer Cyclical,776.78,,,,19382 cr,4838 cr,buy,7850.0,5960.2505,4700.0,7122.5 => 2.0%,5455.01 => 22.2%,77.47,1.49,4.39,6.35,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,2836.0 => 59.55%,2159.55 => 69.2%,6454.04 => 7.95%,5519.94 => 21.27%,4518.41 => 35.56%
HINDZINC,45.0,5.0,8.0,452.9,HINDUSTAN ZINC LIMITED,Basic Materials,31.54,,,,32739 cr,10242 cr,none,564.0,464.0,335.0,807.7 => 44.0%,444.3 => 1.9%,55.45,2.08,4.39,13.35,Downtrend,Downtrend,Downtrend,378.15 => 16.5%,378.15 => 16.5%,284.6 => 37.16%,413.37 => 8.73%,327.15 => 27.77%,368.46 => 18.64%
GRASIM,46.0,5.0,7.0,2807.4,GRASIM INDUSTRIES LTD,Basic Materials,1437.1,,,,153986 cr,4049 cr,buy,3500.0,3400.0,2850.0,2911.0 => 4.0%,2631.73 => 6.26%,48.79,1.62,3.3,8.26,Downtrend,Downtrend,Downtrend,2276.95 => 18.89%,2276.95 => 18.89%,1271.54 => 54.71%,2701.15 => 3.78%,2503.77 => 10.82%,2187.51 => 22.08%
SBILIFE,47.0,5.0,8.0,1817.1,SBI LIFE INSURANCE CO LTD,Financial Services,177.97,,,,121247 cr,2488 cr,strong_buy,2510.0,2105.0,1050.0,1936.0 => 6.0%,1649.03 => 9.25%,48.29,1.63,3.86,7.86,Downtrend,Downtrend,Downtrend,1372.55 => 24.46%,1372.55 => 24.46%,519.4 => 71.42%,1761.33 => 3.07%,1592.13 => 12.38%,0.0 => 100.0%
DLF,48.0,5.0,7.0,733.65,DLF LIMITED,Real Estate,171.9,,,,9348 cr,4485 cr,strong_buy,1060.0,950.0,740.0,1225.0 => 40.0%,757.95 => -3.31%,34.84,2.46,4.67,11.61,Downtrend,Downtrend,Downtrend,601.2 => 18.05%,601.2 => 18.05%,294.7 => 59.83%,704.06 => 4.03%,629.4 => 14.21%,620.71 => 15.39%
ADANIGREEN,49.0,1.0,7.0,1095.25,ADANI GREEN ENERGY LTD,Utilities,67.63,,,,12357 cr,1594 cr,strong_buy,1522.0,1230.0,792.0,3050.0 => 64.0%,974.36 => 11.04%,67.83,4.79,6.58,10.89,Downtrend,Downtrend,Downtrend,758.0 => 30.79%,758.0 => 30.79%,439.1 => 59.91%,936.62 => 14.48%,590.91 => 46.05%,0.0 => 100.0%
VEDL,50.0,5.0,7.0,448.45,VEDANTA LIMITED,Basic Materials,105.52,,,,153531 cr,14567 cr,none,601.0,500.0,435.0,526.95 => 15.0%,441.84 => 1.47%,52.1,2.41,5.08,11.8,Downtrend,Downtrend,Downtrend,363.0 => 19.05%,363.0 => 19.05%,208.0 => 53.62%,425.32 => 5.16%,374.46 => 16.5%,315.22 => 29.71%
TRENT,51.0,5.0,8.0,4897.0,TRENT LTD,Consumer Cyclical,153.64,,,,17914 cr,1584 cr,buy,7200.0,6000.0,4300.0,8345.0 => 41.0%,5590.32 => -14.16%,29.0,2.06,5.65,14.81,Downtrend,Downtrend,Downtrend,4488.0 => 8.35%,4488.0 => 8.35%,109.5 => 97.76%,4644.93 => 5.15%,3873.1 => 20.91%,4629.81 => 5.46%
HDFCLIFE,52.0,5.0,8.0,770.25,HDFC LIFE INS CO LTD,Financial Services,78.96,,,,99692 cr,1880 cr,strong_buy,980.0,895.0,700.0,820.75 => 6.0%,706.92 => 8.22%,47.65,1.87,4.41,8.31,Downtrend,Downtrend,Downtrend,584.3 => 24.14%,584.3 => 24.14%,511.4 => 33.61%,740.02 => 3.92%,681.56 => 11.51%,0.0 => 100.0%
HINDALCO,53.0,5.0,7.0,741.05,HINDALCO  INDUSTRIES  LTD,Basic Materials,557.14,,,,245715 cr,16931 cr,buy,900.0,757.0,615.0,772.65 => 4.0%,655.47 => 11.55%,56.79,1.76,3.89,8.67,Downtrend,Downtrend,Downtrend,546.45 => 26.26%,546.45 => 26.26%,308.95 => 58.31%,709.62 => 4.24%,610.78 => 17.58%,542.38 => 26.81%
IRFC,54.0,5.0,7.0,125.59,INDIAN RAILWAY FIN CORP L,Financial Services,41.65,,,,6834 cr,6671 cr,none,60.0,60.0,60.0,229.0 => 45.0%,133.23 => -6.08%,46.64,1.57,4.32,13.51,Downtrend,Downtrend,Downtrend,108.04 => 13.97%,108.04 => 13.97%,19.3 => 84.63%,117.02 => 6.83%,92.99 => 25.96%,0.0 => 100.0%
TVSMOTOR,55.0,5.0,7.0,3453.0,TVS MOTOR COMPANY  LTD,Consumer Cyclical,178.99,,,,46057 cr,2362 cr,buy,4250.0,3170.0,2020.0,3602.7 => 4.0%,2717.12 => 21.31%,57.87,1.61,4.06,7.39,Downtrend,Downtrend,Downtrend,2171.4 => 37.12%,2171.4 => 37.12%,240.1 => 93.05%,3300.13 => 4.43%,2704.86 => 21.67%,2269.12 => 34.29%
DIVISLAB,56.0,5.0,8.0,5984.0,DIVI S LABORATORIES LTD,Healthcare,563.87,,,,9652 cr,2306 cr,hold,7800.0,6409.5,4250.0,7071.5 => 15.0%,6118.24 => -2.24%,40.59,1.87,4.19,9.69,Downtrend,Downtrend,Downtrend,4955.0 => 17.2%,4955.0 => 17.2%,2730.0 => 54.38%,5720.1 => 4.41%,5480.73 => 8.41%,4740.66 => 20.78%
PIDILITIND,57.0,5.0,7.0,1519.5,PIDILITE INDUSTRIES LTD,Basic Materials,95.89,,,,13498 cr,2182 cr,buy,1892.5,1625.0,1300.0,1707.5 => 11.0%,1481.1 => 2.53%,46.08,1.89,2.8,8.69,Downtrend,Downtrend,Downtrend,1311.1 => 13.72%,1311.1 => 13.72%,994.28 => 34.57%,1465.71 => 3.54%,1383.19 => 8.97%,1280.61 => 15.72%
LTIM,58.0,5.0,8.0,5207.0,LTIMINDTREE LIMITED,Technology,765.61,,,,38706 cr,4719 cr,hold,6273.0,5414.0,4050.0,7588.8 => 31.0%,5233.25 => -0.5%,46.17,2.03,5.05,9.26,Downtrend,Downtrend,Downtrend,3802.0 => 26.98%,3802.0 => 26.98%,3733.3 => 28.3%,5025.58 => 3.48%,4255.22 => 18.28%,4313.49 => 17.16%
VBL,59.0,5.0,7.0,452.6,VARUN BEVERAGES LIMITED,Consumer Defensive,54.3,,,,21078 cr,2848 cr,none,774.0,597.0,500.0,681.12 => 34.0%,517.37 => -14.31%,32.49,2.29,5.98,14.2,Downtrend,Downtrend,Downtrend,419.55 => 7.3%,419.55 => 7.3%,42.86 => 90.53%,437.79 => 3.27%,388.64 => 14.13%,370.86 => 18.06%
BAJAJHLDNG,60.0,5.0,8.0,13203.0,BAJAJ HOLDINGS & INVS LTD,Financial Services,5632.63,,,,936 cr,8397 cr,none,14346.0,14346.0,14346.0,14763.0 => 11.0%,12549.71 => 4.95%,47.14,2.14,5.7,11.4,Downtrend,Downtrend,Downtrend,7659.95 => 41.98%,7659.95 => 41.98%,1460.15 => 88.94%,12324.35 => 6.65%,12058.97 => 8.66%,10270.05 => 22.21%
AMBUJACEM,61.0,5.0,7.0,582.65,AMBUJA CEMENTS LTD,Basic Materials,216.97,,,,36942 cr,4315 cr,buy,845.0,654.5,380.0,706.95 => 18.0%,550.18 => 5.57%,53.31,2.1,4.49,9.54,Downtrend,Downtrend,Downtrend,453.05 => 22.24%,453.05 => 22.24%,453.05 => 22.24%,544.44 => 6.56%,492.04 => 15.55%,460.18 => 21.02%
BRITANNIA,62.0,5.0,8.0,5970.5,BRITANNIA INDUSTRIES LTD,Consumer Defensive,180.83,,,,18257 cr,2194 cr,buy,7200.0,6013.0,4750.0,6469.9 => 8.0%,5321.8 => 10.87%,50.78,1.71,4.87,7.34,Downtrend,Downtrend,Downtrend,4506.0 => 24.53%,4506.0 => 24.53%,3050.0 => 48.92%,5779.87 => 3.19%,5048.39 => 15.44%,4650.04 => 22.12%
BPCL,63.0,5.0,7.0,330.35,BHARAT PETROLEUM CORP  LT,Energy,187.59,,,,439728 cr,17334 cr,buy,460.0,380.0,240.0,376.0 => 12.0%,300.22 => 9.12%,62.64,2.08,4.12,9.58,Downtrend,Downtrend,Downtrend,234.01 => 29.16%,234.01 => 29.16%,144.02 => 56.4%,305.36 => 7.56%,266.31 => 19.39%,241.66 => 26.85%
CHOLAFIN,64.0,5.0,8.0,1630.2,CHOLAMANDALAM IN & FIN CO,Financial Services,281.45,,,,11359 cr,4453 cr,buy,1850.0,1596.0,1200.0,1684.4 => 3.0%,1461.28 => 10.36%,69.44,2.42,4.26,10.18,Downtrend,Downtrend,Downtrend,1168.0 => 28.35%,1168.0 => 28.35%,117.4 => 92.8%,1455.21 => 10.73%,1306.94 => 19.83%,1216.54 => 25.38%
PFC,65.0,5.0,7.0,410.7,POWER FIN CORP LTD.,Financial Services,356.77,,,,47556 cr,24314 cr,strong_buy,580.0,512.5,450.0,580.0 => 29.0%,414.39 => -0.9%,59.23,1.13,4.26,9.82,Downtrend,Downtrend,Downtrend,357.25 => 13.01%,357.25 => 13.01%,77.68 => 81.09%,383.72 => 6.57%,321.31 => 21.76%,343.72 => 16.31%
BANKBARODA,66.0,5.0,8.0,254.37,BANK OF BARODA,Financial Services,297.24,,,,64245 cr,19458 cr,buy,325.0,275.0,215.0,299.7 => 15.0%,234.26 => 7.91%,71.97,2.07,3.97,9.75,Downtrend,Downtrend,Downtrend,190.7 => 25.03%,190.7 => 25.03%,36.0 => 85.85%,231.56 => 8.97%,208.98 => 17.84%,187.93 => 26.12%
