Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
WESTLIFE,525.0,5.0,,700.55,WESTLIFE FOODWORLD LTD,Consumer Cyclical,39.64,,,,2514 cr,10 cr,hold,860.0,771.0,538.0,1024.95 => 32.0%,734.94 => -4.91%,39.33,3.11,6.69,10.1,Downtrend,Downtrend,Downtrend,640.7 => 8.54%,640.7 => 8.54%,402.3 => 42.57%,673.01 => 3.93%,623.2 => 11.04%,0.0 => 100.0%
IXIGO,526.0,5.0,,277.8,LE TRAVENUES TECHNOLOGY L,Consumer Cyclical,16.3,,,,1065 cr,64 cr,none,320.0,225.0,220.0,329.75 => 16.0%,181.64 => 34.62%,50.41,4.25,11.85,11.98,Downtrend,Downtrend,Downtrend,117.0 => 57.88%,117.0 => 57.88%,0.0 => 100.0%,251.4 => 9.5%,0.0 => 100.0%,0.0 => 100.0%
SAFARI,527.0,5.0,,2212.8,SAFARI IND (INDIA) LTD,Consumer Cyclical,195.04,,,,1849 cr,149 cr,strong_buy,2740.0,2602.0,2180.0,2744.7 => 19.0%,2205.4 => 0.33%,54.01,2.27,5.69,11.69,Downtrend,Downtrend,Downtrend,1670.15 => 24.52%,1670.15 => 24.52%,0.0 => 100.0%,2070.94 => 6.41%,1816.47 => 17.91%,0.0 => 100.0%
BLACKBUCK,528.0,5.0,,599.85,BLACKBUCK LIMITED,Technology,115.73,,,,478 cr,-37 cr,none,650.0,612.5,507.0,669.9 => 10.0%,459.11 => 23.46%,53.16,3.94,10.57,10.11,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,550.25 => 8.27%,0.0 => 100.0%,0.0 => 100.0%
SCI,529.0,5.0,,232.48,SHIPPING CORP OF INDIA LT,Industrials,178.23,,,,5408 cr,906 cr,none,0.0,0.0,0.0,384.2 => 39.0%,197.42 => 15.08%,68.74,2.82,5.78,13.33,Downtrend,Downtrend,Downtrend,138.26 => 40.53%,138.26 => 40.53%,79.2 => 65.93%,200.81 => 13.62%,160.96 => 30.77%,155.33 => 33.18%
VIJAYA,530.0,5.0,,1052.2,VIJAYA DIAGNOSTIC CEN LTD,Healthcare,77.65,,,,713 cr,150 cr,none,1329.0,1164.0,1000.0,1275.0 => 17.0%,1027.21 => 2.38%,50.22,2.05,6.01,15.39,Downtrend,Downtrend,Downtrend,740.0 => 29.67%,740.0 => 29.67%,0.0 => 100.0%,985.79 => 6.31%,890.52 => 15.37%,0.0 => 100.0%
METROPOLIS,531.0,5.0,,2082.2,METROPOLIS HEALTHCARE LTD,Healthcare,256.94,,,,1404 cr,152 cr,none,2537.0,2237.0,1655.0,3579.9 => 42.0%,1845.3 => 11.38%,48.51,2.99,7.4,9.88,Downtrend,Downtrend,Downtrend,1315.0 => 36.85%,1315.0 => 36.85%,1171.35 => 43.74%,1962.72 => 5.74%,1726.98 => 17.06%,0.0 => 100.0%
JKLAKSHMI,532.0,5.0,,862.85,JK LAKSHMI CEMENT LTD,Basic Materials,295.04,,,,6370 cr,393 cr,buy,1300.0,1004.0,685.0,1021.2 => 16.0%,843.38 => 2.26%,29.03,2.46,5.05,11.94,Downtrend,Downtrend,Downtrend,660.5 => 23.45%,660.5 => 23.45%,366.25 => 57.55%,824.02 => 4.5%,778.46 => 9.78%,667.1 => 22.69%
ASTRAMICRO,533.0,5.0,,1125.1,ASTRA MICROWAVE LTD,Technology,115.7,,,,1096 cr,163 cr,none,1190.0,1175.0,768.0,1195.9 => 6.0%,881.0 => 21.7%,61.49,3.28,6.47,14.57,Downtrend,Downtrend,Downtrend,584.2 => 48.08%,584.2 => 48.08%,45.25 => 95.98%,964.43 => 14.28%,838.53 => 25.47%,735.54 => 34.62%
SHAILY,534.0,1.0,,2321.4,SHAILY ENG PLASTICS LTD,Basic Materials,119.18,,,,854 cr,117 cr,none,2142.0,2142.0,2142.0,2670.0 => 13.0%,1704.73 => 26.56%,60.31,5.62,10.62,14.48,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,191.0 => 91.77%,191.0 => 91.77%,2061.87 => 11.18%,1579.12 => 31.98%,0.0 => 100.0%
